,0
0,17.99
1,10.38
2,122.8
3,1001.0
4,0.1184
5,60.910334403273716
6,60.910334403273716
7,60.910334403273716
8,60.910334403273716
9,60.910334403273716
10,60.910334403273716
11,60.910334403273716
12,60.910334403273716
13,60.910334403273716
14,60.910334403273716
15,0.04904
16,0.05373
17,60.910334403273716
18,60.910334403273716
19,60.910334403273716
20,25.38
21,17.33
22,60.910334403273716
23,2019.0
24,0.1622
25,60.910334403273716
26,60.910334403273716
27,0.2654
28,60.910334403273716
29,60.910334403273716
30,1.0
31,60.910334403273716
32,60.910334403273716
33,132.9
34,1326.0
35,0.08474
36,60.910334403273716
37,60.910334403273716
38,60.910334403273716
39,60.910334403273716
40,0.05667
41,0.5435
42,60.910334403273716
43,60.910334403273716
44,60.910334403273716
45,0.005225
46,60.910334403273716
47,60.910334403273716
48,0.0134
49,60.910334403273716
50,60.910334403273716
51,60.910334403273716
52,23.41
53,158.8
54,1956.0
55,0.1238
56,60.910334403273716
57,0.2416
58,60.910334403273716
59,0.275
60,60.910334403273716
61,60.910334403273716
62,19.69
63,21.25
64,130.0
65,60.910334403273716
66,60.910334403273716
67,0.1599
68,60.910334403273716
69,0.1279
70,0.2069
71,60.910334403273716
72,60.910334403273716
73,60.910334403273716
74,4.585
75,94.03
76,0.00615
77,0.04006
78,60.910334403273716
79,0.02058
80,60.910334403273716
81,0.004571
82,23.57
83,25.53
84,60.910334403273716
85,60.910334403273716
86,0.1444
87,60.910334403273716
88,0.4504
89,60.910334403273716
90,60.910334403273716
91,0.08758
92,1.0
93,11.42
94,20.38
95,77.58
96,386.1
97,60.910334403273716
98,60.910334403273716
99,0.2414
100,60.910334403273716
101,0.2597
102,0.09744
103,0.4956
104,60.910334403273716
105,3.445
106,27.23
107,0.00911
108,60.910334403273716
109,0.05661
110,0.01867
111,60.910334403273716
112,60.910334403273716
113,60.910334403273716
114,26.5
115,98.87
116,567.7
117,60.910334403273716
118,60.910334403273716
119,0.6869
120,0.2575
121,0.6638
122,0.173
123,1.0
124,20.29
125,14.34
126,60.910334403273716
127,60.910334403273716
128,60.910334403273716
129,0.1328
130,60.910334403273716
131,60.910334403273716
132,60.910334403273716
133,60.910334403273716
134,0.7572
135,0.7813
136,60.910334403273716
137,60.910334403273716
138,0.01149
139,60.910334403273716
140,0.05688
141,60.910334403273716
142,60.910334403273716
143,0.005115
144,22.54
145,16.67
146,152.2
147,1575.0
148,0.1374
149,60.910334403273716
150,60.910334403273716
151,60.910334403273716
152,60.910334403273716
153,60.910334403273716
154,1.0
155,60.910334403273716
156,15.7
157,60.910334403273716
158,477.1
159,0.1278
160,60.910334403273716
161,0.1578
162,0.08089
163,0.2087
164,60.910334403273716
165,60.910334403273716
166,60.910334403273716
167,60.910334403273716
168,60.910334403273716
169,0.00751
170,0.03345
171,60.910334403273716
172,60.910334403273716
173,0.02165
174,0.005082
175,15.47
176,60.910334403273716
177,60.910334403273716
178,741.6
179,0.1791
180,60.910334403273716
181,0.5355
182,60.910334403273716
183,60.910334403273716
184,60.910334403273716
185,60.910334403273716
186,18.25
187,60.910334403273716
188,119.6
189,60.910334403273716
190,0.09463
191,60.910334403273716
192,0.1127
193,60.910334403273716
194,60.910334403273716
195,0.05742
196,60.910334403273716
197,60.910334403273716
198,3.18
199,53.91
200,0.004314
201,60.910334403273716
202,60.910334403273716
203,60.910334403273716
204,60.910334403273716
205,60.910334403273716
206,22.88
207,60.910334403273716
208,153.2
209,1606.0
210,0.1442
211,0.2576
212,0.3784
213,60.910334403273716
214,60.910334403273716
215,60.910334403273716
216,60.910334403273716
217,13.71
218,20.83
219,90.2
220,577.9
221,0.1189
222,60.910334403273716
223,60.910334403273716
224,0.05985
225,0.2196
226,60.910334403273716
227,0.5835
228,1.377
229,60.910334403273716
230,50.96
231,0.008805
232,0.03029
233,60.910334403273716
234,0.01448
235,0.01486
236,0.005412
237,17.06
238,60.910334403273716
239,110.6
240,60.910334403273716
241,0.1654
242,0.3682
243,60.910334403273716
244,0.1556
245,0.3196
246,60.910334403273716
247,1.0
248,13.0
249,60.910334403273716
250,60.910334403273716
251,519.8
252,0.1273
253,0.1932
254,0.1859
255,0.09353
256,60.910334403273716
257,0.07389
258,0.3063
259,60.910334403273716
260,2.406
261,24.32
262,60.910334403273716
263,60.910334403273716
264,0.03553
265,0.01226
266,60.910334403273716
267,0.003749
268,60.910334403273716
269,30.73
270,106.2
271,739.3
272,0.1703
273,0.5401
274,0.539
275,60.910334403273716
276,60.910334403273716
277,60.910334403273716
278,60.910334403273716
279,60.910334403273716
280,60.910334403273716
281,83.97
282,475.9
283,60.910334403273716
284,0.2396
285,60.910334403273716
286,60.910334403273716
287,60.910334403273716
288,0.08243
289,60.910334403273716
290,1.599
291,60.910334403273716
292,60.910334403273716
293,0.007149
294,0.07217
295,0.07743
296,60.910334403273716
297,0.01789
298,0.01008
299,15.09
300,60.910334403273716
301,97.65
302,60.910334403273716
303,60.910334403273716
304,1.058
305,1.105
306,0.221
307,0.4366
308,0.2075
309,60.910334403273716
310,60.910334403273716
311,23.24
312,102.7
313,797.8
314,0.08206
315,0.06669
316,0.03299
317,60.910334403273716
318,0.1528
319,60.910334403273716
320,0.3795
321,1.187
322,60.910334403273716
323,40.51
324,0.004029
325,0.009269
326,0.01101
327,60.910334403273716
328,60.910334403273716
329,0.003042
330,19.19
331,33.88
332,123.8
333,60.910334403273716
334,0.1181
335,60.910334403273716
336,0.1459
337,0.09975
338,60.910334403273716
339,0.08452
340,60.910334403273716
341,60.910334403273716
342,17.89
343,60.910334403273716
344,60.910334403273716
345,0.0971
346,60.910334403273716
347,0.09954
348,0.06606
349,60.910334403273716
350,0.06082
351,60.910334403273716
352,60.910334403273716
353,60.910334403273716
354,54.16
355,0.005771
356,0.04061
357,60.910334403273716
358,60.910334403273716
359,0.02008
360,60.910334403273716
361,60.910334403273716
362,60.910334403273716
363,60.910334403273716
364,1299.0
365,60.910334403273716
